X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
0.097,0.078,0.088,0.071,0.07,0.0875,0.065,0.045,0.036,0.035,0.03
0.3525,0.0595,0,0.0215,0.0228,0.0797,0.0437,0.0477,0.1274,0,0.2452
0.17625,0.02975,0,0.01075,0.0114,0.03985,0.02185,0.02385,0.0637,0,0.1226
0.52875,0.08925,0,0.03225,0.0342,0.11955,0.06555,0.07155,0.1911,0,0.3678
0.014641,0.006711,0.010687,0.01012,0.010223,0.000127,0.010902,0.005391,-0.00186,0.000271,-0.000755
0.006711,0.013924,0.009119,0.006386,0.006881,0.000135,0.008626,0.00172,-0.000188,-0.000562,-0.000614
0.010687,0.009119,0.019044,0.007638,0.01051,0.000236,0.011965,0.006371,-0.001755,0.000077,-0.001148
0.01012,0.006386,0.007638,0.015129,0.009953,0.000159,0.010246,0.003288,0.000456,0.001068,-0.000863
0.010223,0.006881,0.01051,0.009953,0.014161,0.000139,0.012745,0.005205,-0.000568,0.001033,-0.000804
0.000127,0.000135,0.000236,0.000159,0.000139,0.000009,0.000245,-0.000044,-0.00006,-0.000015,-0.000031
0.010902,0.008626,0.011965,0.010246,0.012745,0.000245,0.0289,0.006747,-0.001261,0.000857,-0.001017
0.005391,0.00172,0.006371,0.003288,0.005205,-0.000044,0.006747,0.006561,-0.000172,0.000794,0.000168
-0.00186,-0.000188,-0.001755,0.000456,-0.000568,-0.00006,-0.001261,-0.000172,0.002809,0.000876,0.00051
0.000271,-0.000562,0.000077,0.001068,0.001033,-0.000015,0.000857,0.000794,0.000876,0.000784,0.000102
-0.000755,-0.000614,-0.001148,-0.000863,-0.000804,-0.000031,-0.001017,0.000168,0.00051,0.000102,0.000676
